"archive","poc"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 104","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 105","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 108","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 109","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 11","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 110","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 111","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 112","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 113","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 114","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 115","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 116","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 117","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 118","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 119","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 12","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 13","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 14","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 15","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 16","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 17","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 18","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 19","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 20","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 21","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 22","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 23","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 24","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 25","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 26","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 27","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 51","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 52","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 53","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 54","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 55","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 56","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 57","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 58","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 59","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 60","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 61","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 62","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 63","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 64","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 65","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 66","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 67","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 68","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 69","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 70","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 71","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 72","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 73","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 74","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 75","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 76","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 99","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 98","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 77","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 97","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 78","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 79","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 80","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 96","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 95","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 94","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 93","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 81","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 82","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 83","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 92","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 84","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 91","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 90","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 89","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 88","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 87","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 86","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 28","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 29","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 30","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 31","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 32","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 33","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 34","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 35","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 36","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 37","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 38","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 39","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 40","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 41","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 42","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 43","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 44","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 45","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 46","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 47","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 48","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 49","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 50","ageyertraver@gmail.com"
"Department of Soil Science, Luiz de Queiroz College of Agriculture (ESALQ), University of Sa˜o Paulo (USP), Piracicaba, Sa˜o Paulo 13418-900, Brazil","agfboim@usp.br"
"Soil Science Department, Luiz de Queiroz College of Agriculture, University of São Paulo (ESALQ-USP), Av. P´adua Dias 11, CEP 13418-900, Piracicaba, Sao Paulo, Brazil","agfboim@usp.br"
"Department of Soil Science, Luiz de Queiroz College of Agriculture (ESALQ), University of São Paulo (USP), Piracicaba, São Paulo, 13418-900, Brazil","agfboim@usp.br"
"U.S. Geological Survey","agilmer@usgs.gov"
"Scripps Institution of Oceanography","ahangsterfer@ucsd.edu"
"University of South Carolina","Aimee Pusz"
"Northern Arizona University","ak767@nau.edu"
"Universität Bremen, Geosciences Dpt., Bremen, Germany","akluegel@uni-bremen.de"
"University of Maine Climate Change Institute","akurbatov@maine.edu"
"Berkeley Geochronology Center","al@bgc.org"
"OSU","Alan Mix"
"Pacific Northwest National Laboratory-Sequim, WA","Alan Roebuck"
"Geological Survey of Newfoundland and Labrador","alanahinchey@gov.nl.ca"
NULL,"Alessandro Frigeri"
"Istituto di Astrofisica e Planetologia Spaziali IAPS INAF","alessandro.frigeri@inaf.it"
"University of Parma, Italy","alessio.lucca@studenti.unipr.it"
"Geological Survey of Canada, 601 Booth St., Ottawa, ON, K1A0E8","alex.zagorevski@nrcan-rncan.gc.ca"
"Geological Survey of Canada, 601 Booth St., Ottawa, ON, K1A0E7","alex.zagorevski@nrcan-rncan.gc.ca"
"USC rock archive","Alexander D Lusk"
"Lamont-Doherty Earth Observatory","Alexandra Bausch"
"University of California, San Diego, Scripps Institution of Oceanography, La Jolla, CA, 90237, USA","Alexandra Hangsterfer"
"Institute of Volcanology and Seismology, Russia","Alexey Ozerov"
"Brown University Department of Earth, Environmental and Planetary Sciences; Providence, RI","alexia_rojas@brown.edu"
"Utah State University Department of Geology","alexis.ault@usu.edu"
"Utah State University","alexis.ault@usu.edu"
NULL,"Alican Aktag"
"University College London","Alice Carter-Champion"
NULL,"alissa.kotowski@gmail.com"
"Geoscience Australia","Alix Post"
"Temple University; Philadelphia, PA","alix@temple.edu"
"University of Johannesburg (UJ)","Allan Wilson"
"Biomarker Technologies Inc.","allegra@geomodelingsolutions.com"
