locality_id,locality.feature_type_id,locality_type,locality.name,country_id,province,county,city,contained_in
113,189,Mining site,"A.A. Browns Claims, Nevada",228,Nevada,,,
114,189,Mining site,A.A.S. Mine,163,,,,
115,189,Mining site,A.A.-Vih Mine,74,,,,
116,189,Mining site,"A.B.H. Consols Mine, New South Wales",13,New South Wales,,,
117,193,Quarry,"A.C. Perham Quarry, Maine",228,Maine,West Paris,West Paris,
118,189,Mining site,"A.E. Bakers Mine, New South Wales",13,New South Wales,,,
119,189,Mining site,"A.E.C. Mine, Utah",228,Utah,Emery Co.,,
120,189,Mining site,"A.E.C. No. 4 Mine, Nevada",228,Nevada,Emery Co.,,
121,189,Mining site,"A.G. Gray Mine, Arkansas",228,Arkansas,,,
122,193,Quarry,"A.H. George, Indiana",228,Indiana,Fayette,,
123,,,"A.P. Hill School, Virginia",228,Virginia,Petersburg (city),,
124,193,Quarry,"A.R. Berry Quarry, Maine",228,Maine,,East Poland,
125,189,Mining site,"A.R. Chinn Mine, Arkansas",228,Arkansas,,,
126,189,Mining site,"A.R. Haack Mine, Arizona",228,Arizona,Yuma Co.,Castle Dome,
127,189,Mining site,A.S.A. Voh Mine,74,,,,
128,189,Mining site,"A.T. & Minnis Mine, Colorado",228,Colorado,Leadville,Leadville,
129,189,Mining site,"A.Z. Haock Mine, Arizona",228,Arizona,Yuma Co.,Castle Dome,
130,189,Mining site,"A154 South Mine, Northwest Territories",38,Northwest Territories,,,
131,189,Mining site,"Aachen Mine, North Rhine-Westphalia",81,North Rhine-Westphalia,,,
132,,,"Aachen, North Rhine-Westphalia, Germany",81,North Rhine-Westphalia,,Altenberg,
133,,,"Aahole, Kabira, Uganda",224,,,,
134,,,"Aaklungen Railroad Station (S Of), Norway",163,,,,
135,,,"Aalbeke, clay pit Kobbe (clay pit Vermeulen)",21,,,,
136,,,"Aamdals Vaerk, Poregrund, Norway",163,,,,
137,,,"Aar Massif (Mtns.); Fiesch, Valais, Switzerland, Valais",209,Valais,,,
138,,,"Aargau, Switzerland, Aargau",209,Aargau,,,
139,11,Glacier environment,Aaron Glacier,,,,,
140,,,"Aaserund, Eidfjord, Norway",163,,,,
141,,,"Abalyboz Tepe, Turkey",256,,,,
142,221,Outcrop,"Abancay, Andes, Apurimac",171,Apurimac,,,
143,193,Quarry,"Abandoned Altajme Quarries, Gotland",208,Gotland,,,
144,193,Quarry,"Abandoned Quarry, Bluff, and Tunnel Mill, Indiana",228,Indiana,Jennings,,
145,193,Quarry,"Abandoned Quarry, Clifty Creek, Indiana",228,Indiana,Jefferson,,
146,193,Quarry,"Abandoned quarry, Indiana, Jasper, Remington, United States, Indiana",228,Indiana,Jasper,Remington,
147,193,Quarry,"Abandoned Quarry, Laurel Cave Section, Indiana",228,Indiana,Jennings,,
148,193,Quarry,"Abandoned Quarry, Maine, Waldoboro, United States, Maine",228,Maine,,Waldoboro,
149,,,"Abandoned Railroad, North Carolina, Jefferson, United States, North Carolina",228,North Carolina,,Jefferson,
150,189,Mining site,"Abandoned Zinc Mine, Kentucky",228,Kentucky,,,
151,,,"Abaroa, Oruro, Bolivia",26,Oruro,,,
152,189,Mining site,"Abbadia Mine, Tuscany",106,Tuscany,,Monte Amiata District,
153,,,"Abbaretz, France",74,,Abbaretz,Abbaretz,
154,70,Lake,ABBAYE SALINS,74,,,,
155,189,Mining site,"Abbeline Mine, Baja California Sur",140,Baja California Sur,Alamo,Alamo,
157,189,Mining site,"Abbey Mine Number 4, Illinois",228,Illinois,St. Clair Co.,Collinsville,
158,189,Mining site,"Abbey Mine, Illinois",228,Illinois,St. Clair Co.,"Saint Clair, Collinsville",
159,112,Mountain,Abbey Nunatak,,,,,
160,189,Mining site,"Abbie Claim, Idaho - Oregon",228,Idaho - Oregon,,Soldier,
162,193,Quarry,"Abbot Quarry, Maine",228,Maine,,North Sullivan,
163,189,Mining site,Abbots Ford,200,,,,
164,,,"Abbots Hollow, Indiana",228,Indiana,Perry,,
165,,,Abbots Ripton,227,,,,
166,,,"Abbott Peak, Mt. Erebus",,,,,
167,,,"Abd Al Ma'Asir, Saudi Arabia",190,,,Abd Al Ma'Asir,
168,189,Mining site,Abdasht Mine,102,,,,
169,189,Mining site,"Abe Lincoln Mine, Colorado",228,Colorado,Cripple Creek,Cripple Creek,
170,13,Submarine vent,"Abe vent field, Lau Basin",217,,,,
171,185,Volcano,"Abejera, Tenerife",202,Tenerife,,,
172,,,"Abejorral, Antioquia, Colombia",47,,,,
173,9,Earth surface,Abele Spur,,,,,
174,,,"Abele Spur, Mt. Lechner",,,,,
175,189,Mining site,Abenab Mine,150,,Abenab,Abenab,
177,189,Mining site,Abenab West Mine,,,,,
178,,,"Abenab, Namibia",150,,Abenab,Abenab,
179,,,"Aber Foyle River, New South Wales, Australia",13,New South Wales,,,
180,,,"Abercombie River, New South Wales, Australia",13,New South Wales,,,
181,189,Mining site,"Aberdeen Mine, New Mexico",228,New Mexico,,Mining Districts,
182,193,Quarry,"Aberdeen Quarry, Minnesota",228,Minnesota,,Ortonville,
183,,,"Aberdeen, Glen Lui, Scotland, United Kingdom, Scotland",227,Scotland,,,
184,,,"Aberdeen, Mississippi, Monroe Co., United States, Mississippi",228,Mississippi,Monroe Co.,,
185,,,"Aberdeen, Scotland, United Kingdom, Scotland",227,Scotland,,,
187,,,"Aberdeenshire, Scotland, United Kingdom",227,England,,,
188,189,Mining site,"Aberfoyle Mine, Tasmania",13,Tasmania,Rossarden,Rossarden,
189,189,Mining site,"Aberllyn Mine, Wales",227,Wales,,,
190,,,"Abert Lake, Oregon, United States",228,Oregon,,,
191,189,Mining site,"Abg Mine, Colorado",228,Colorado,,Rico,
192,,,"Abiathar Peak Section, Wyoming, United States",228,Wyoming,,,
193,,,"Abiquiu, New Mexico, Rio Arriba Co., United States, New Mexico",228,New Mexico,Rio Arriba Co.,,
194,,,Abitibi Greenstone Belt,38,,,Munro Township,
195,,,"Abitibi Greenstone Belt, East Pacific Rise, Quebec",38,Quebec,,,
196,,,"Abitibi River; Sextant Portage, Ontario, Canada",38,Ontario,,,
197,,,"Abi-Trombe, Madagascar",129,,,,
198,,,"Ableman, Wisconsin, United States, Wisconsin",228,Wisconsin,,,
199,,,"Abner Marshall Farm, Pennsylvania",228,Pennsylvania,Pennsylvania,,
200,,,"Abo, Finland",73,,Abo,Abo,
201,,,"Abo, Turku Ja Pori, Finland, Turku Ja Pori",73,Turku Ja Pori,,,
202,189,Mining site,Abosso Mine,82,,,,
203,,,"About 1/4 Mi From Asphalt Mine Rd, Texas, United States",228,Texas,,,
204,,,"Aboutville, New York, United States",228,New York,,,
205,,,"Abqaiq, Saudi Arabia",190,,,,
206,,,"Abra Wolsey, Isla Madre de Dios",43,,,,
207,189,Mining site,"Abraham Winters Mine, New York",228,New York,Clinton Co.,Clintonville,
208,189,Mining site,"Abrasives, New Hampshire",228,New Hampshire,,Groton,
209,,,"Abrigo, Arizona, Cochise Co., United States",228,Arizona,Cochise Co.,,
210,,,"Abrud, Transylvania Region, Romania",179,Transylvania,,,
211,,,"Abrudbanya, Hungary",98,,,,
212,,,"Absaroka Range, Wyoming, United States",228,Wyoming,,,
214,,,"Abschen Alps; Brienze, Switzerland",209,,,,
215,,,"Abtsberg, Germany",81,,,Abtsberg,
216,221,Outcrop,Abu Samuki,64,,,,
225,,,"Abuja, Nigeria",159,,,,
227,173,Drainage basin,abukuma,,,,,
228,70,Lake,"Abundance Lake, Montana. Location ID: ABD; Site: 1; Hole: A",228,Montana,Park,,
231,189,Mining site,"Abundancia Mine, Atacama",43,Antofagasta,Guanaco,Guanaco,
232,189,Mining site,"Abundancia Mine, Cuba",55,Cuba,,Manganeso Station,
233,,,"Abydos, Egypt",64,,,,
234,,,ABYMES,87,,,,
235,,,"Acacia 1, Australia",13,,,,
236,,,"Academy Church, Alabama",228,Alabama,Lamar,,
237,,,"Academy for Global Citizenship, IL",228,Illinois,,,
238,189,Mining site,"Acadia Furnace Bank Mine, Virginia",228,Virginia,,,
239,,,"Acaponeta, Mexico",140,,,Acaponeta,
240,189,Mining site,"Acari Mines, Rebozadero Lode",171,,,,
241,,,"Acari, Peru",171,,Acari,Acari,
243,112,Mountain,Acarospora Peak,,,,,
244,185,Volcano,Acatenango,89,,,,
245,70,Lake,"Ace Lake, Alaska. Location ID: ACE; Site: 1; Hole: A",228,Alaska,Fairbanks North Star,,
247,189,Mining site,"Ace Of Diamonds Mine, New York",228,New York,Middleville,Middleville,
248,189,Mining site,"Ace Of Diamonds Mine, Washington",228,Washington,Kittitas County,,
249,189,Mining site,"Ace Of Hearts Mine, Colorado",228,Colorado,Lake Co.,,
250,189,Mining site,"Ace Of Spades Mine, New Mexico",228,New Mexico,Socorro Co.,Socorro,
251,189,Mining site,"Ace-fay Mine, Saskatchewan",38,Saskatchewan,Beaverlodge Lake,Beaverlodge Lake,
252,189,Mining site,"Achenbach Mine, North Rhine-Westphalia",81,North Rhine-Westphalia,,,
253,,,"Achenbach, Siegen, North Rhine-Westphalia, Germany",81,North Rhine-Westphalia,,,
254,,,"Achental (Valley); Hollerbach, Tirol, Austria",14,Tirol,,,
255,,,"Achental, Salzburg, Austria",14,Salzburg,,,
256,,,"Acheron River; Mid Canterbury, South Island, New Zealand",156,South Island,,,
257,185,Volcano,Achler volcano,11,,,,
258,,,"Achler, Armenia",11,,,,
259,,,"Dodo deposit, Neroyka (4 km from), Ural Mtns., Tyumen Oblast, Russian Federation",180,,,,
260,189,Mining site,"Achmatowsk Mine, Chelyabinsk Oblast",180,Chelyabinsk,,,
261,,,Achnaha Garden,227,,,,
262,,,"Achtaranda River And Vilyui River, Yakutia-Sakha Republic, Russian Federation",180,Yakutia-Sakha,,,
263,,,"Achtaranda River, Yakutia-Sakha Republic, Russian Federation",180,Yakutia-Sakha,,,
264,,,"Aci Castello, Catania Province, Sicily, Italy",106,Sicily,,,
265,,,"Aci Catena, Sicily",106,Sicily,Sicily,,
266,189,Mining site,"Acif mine, Mibladen, Morocco",147,,,Mibladen,
267,,,"Acireale, Catania Province, Sicily, Italy",106,Sicily,,,
268,70,Lake,"Ackerman Lake, Michigan. Location ID: 194; Site: 1; Hole: A",228,Michigan,Alger,,
269,70,Lake,"Ackerman Lake, Michigan. Location ID: 194; Site: 3; Hole: A",228,Michigan,Alger,,
270,189,Mining site,"Ackerman Mine, Ontario",38,Ontario,,,
271,112,Mountain,Ackerman Nunatak,,,,,
272,116,Ridge,Ackerman Ridge,,,,,
273,,,"Ackly City, Newfoundland, Recontre East, Canada",38,Newfoundland,,Recontre East,
274,189,Mining site,"Acme Buick Company Clay Pit, Arkansas",228,Arkansas,Hot Spring Co.,,
275,189,Mining site,"Acme mine, Wyoming",228,Wyoming,Sheridan County,Acme (near),
276,,,"Acme, North Carolina, North Carolina",228,North Carolina,Columbus,,
277,,,"Aconcagua, Chile, Aconcagua",43,Aconcagua,,,
278,,,"Aconchi, Sonora, Mexico",140,Sonora,,,
279,,,"Aconcingo, Guerrero",140,Guerrero,,,
280,189,Mining site,Acoxcatlan,140,,Hidalgo,,
281,,,"Acqua Acetosa, Latium",106,Latium,Rome,Rome,
282,,,"Acraman Impact Layer, South Australia, Australia",13,South Australia,,,
283,,,"Acre, Brazil, Acre",30,Acre,,,
284,,,"Acropolis Of Assos, Turkey",220,,,,
286,,,"Acropolis, Pergamon, Turkey",220,,,Pergamon,
287,189,Mining site,"Across The Ocean Mine, Colorado",228,Colorado,Lake Co.,Leadville,
288,,,"Acta Valley; Brazzo, Piedmont, Italy, Piedmont",106,Piedmont,,,
292,,,"Actara, Potosi",26,Potosi,Colquechaca,Colquechaca,
293,,,"Actinolite, Ontario, Canada",38,,,,
294,189,Mining site,"Acton Mine, Maine",228,Maine,Acton,Acton,
295,205,Geologic unit,"Acuda Kimberlite, Piaui",30,Piaui,,,
296,97,Seamount,"Acushnet Guyot, Walvis Ridge, Atlantic Ocean",,,,,
297,,,"Acuto Mtn.; Traversella, Piedmont, Italy, Piedmont",106,Piedmont,,,
298,,,"Acworth, New Hampshire, United States",228,New Hampshire,,,
300,189,Mining site,"Ada Augusta Mine, New South Wales",13,New South Wales,,,
301,189,Mining site,"Ada Elmore Mine, Idaho",228,Idaho,Elmore Co.,,
303,189,Mining site,"Ada Mine, Montana",228,Montana,,Basin,
304,,,"Ada, Oklahoma, United States, Oklahoma",228,Oklahoma,,,
305,,,"Adaboroa, Antananarivo",129,Antananarivo,Malakialina,Malakialina,
306,,,"Adachiken, Minowa Mura, Japan",108,,,,
308,70,Lake,"Adagin , Övörkhangai Province. Location ID: ADG; Site: 1; Hole: A",144,Ã–vÃ¶rkhangai,,,
309,70,Lake,"Adagin , Övörkhangai Province. Location ID: ADG; Site: 1; Hole: B",144,Ã–vÃ¶rkhangai,,,
310,25,Submarine canyon,Adak Canyon,,,,,
311,189,Mining site,Adak Mine,208,,,,
312,189,Mining site,"Adalberti Vein, Bohemia Region",57,Bohemia,,,
313,189,Mining site,"Adam Hebes Mine, Saxony",81,Saxony,Schneeberg,Schneeberg,
315,,,"Adamana, Arizona, United States",228,Arizona,,,
317,,,"Adamas, Milos, Greece",84,,,Milos,
318,,,"Adamello Mtn., Lago Della Vacca (Lake), Italy",106,,,,
319,,,"Adamello, Alps, Tyrol, Italy",106,Tyrol,,Adamello,
320,,,"Adamkluft, Sacaramb, Transylvania Region, Romania",179,Transylvania,,,
321,185,Volcano,"Adams, Washington",228,Washington,,,
322,188,Mining site,"Adams Brook, Vermont",228,Vermont,Newfane,Newfane,
323,,,"Adams Claim, Colorado, Silverton, United States",228,Colorado,,Silverton,
324,,,"Adams Co, Illinois, Adams Co., United States",228,Illinois,Adams Co.,,
325,,,"Adams Co, Pennsylvania, Adams Co., United States",228,Pennsylvania,Adams Co.,,
326,,,"Adams Creek Field, Alabama",228,Alabama,Covington,,
327,,,"Adams Farm, North Carolina, Alexander Co., United States",228,North Carolina,Alexander Co.,,
328,,,"Adams Hill Brook, Vermont",228,Vermont,Newfane,Newfane,
329,,,"Adams Lake, Ontario, Canada",38,Ontario,,,
330,189,Mining site,"Adams Mine, Arizona",228,Arizona,Castle Dome District,Castle Dome District,
331,189,Mining site,"Adams Mine, Colorado",228,Colorado,Gladstone,Gladstone,
332,189,Mining site,"Adams Mine, Northern Cape",200,Northern Cape,Hotazel,Hotazel,
334,189,Mining site,"Adams Mine, Oklahoma",228,Oklahoma,Ottawa Co.,,
335,189,Mining site,"Adams Mine, Ontario",38,Ontario,Kirkland Lake,Kirkland Lake,
336,189,Mining site,"Adams Property, North Carolina",228,North Carolina,Alexander Co.,Hiddenite,
337,193,Quarry,Adams Quarry,156,,,Rotorua,
338,221,Outcrop,Adam's Rocks,,,,,
339,97,Seamount,Adams Seamount,,,,,
340,220,Island,"Adams Sound, Baffin Island, Nanuvat",38,Nanuvat,,,
341,193,Quarry,"Adams Stone Quarry, Kentucky",228,Kentucky,Letcher,,
342,185,Volcano,"Adams, California",228,California,,Healdsburg,
343,,,"Adams, Savoy, Massachusetts, United States",228,Massachusetts,,,
345,189,Mining site,"Adamson, California",228,California,Inyo Co.,,
346,,,Adare Basin,,,,,
347,,,Adare Trough,,,,,
348,189,Mining site,"Addey Claims, Colorado",228,Colorado,Fremont Co.,,
349,189,Mining site,"Addie Mine, Illinois",228,Illinois,,,
350,189,Mining site,"Addie Mine, Nevada",228,Nevada,,Tonapah Area,
351,189,Mining site,"Addie Mine, South Dakota",228,South Dakota,Pennington Co.,,
352,189,Mining site,"Addie Mine, Wisconsin",228,Wisconsin,,,
353,193,Quarry,"Addie Quarry, North Carolina",228,North Carolina,,,
354,,,Addis,,,,,
355,,,"Addis Ababa, Kombolcia, Ethiopia",69,,,,
356,,,"Addison Road, Maryland",228,Maryland,Prince George's,,
357,205,Geologic unit,"Adel Mountain Volcanics, Montana",228,Montana,Cascade Co.,,
358,220,Island,Adelaide Island,8,,,,
359,189,Mining site,"Adelaide Mine, Colorado",228,Colorado,Lake County,Leadville(Near),
360,189,Mining site,"Adelaide Mine, New South Wales",13,New South Wales,,,
361,189,Mining site,"Adelaide Mine, Tasmania",13,Tasmania,West Coast,Dundas,
362,,,"Adelaide River, Northern Territory, Australia",13,Northern Territory,,,
363,,,"Adelaide, South Australia, Australia",13,South Australia,,,
364,189,Mining site,"Adelante Mine, La Rioja",10,La Rioja,,,
365,,,"Adelanto, California, San Bernardino Co., United States",228,California,San Bernardino Co.,,
366,189,Mining site,"Adele Mine, Montana",228,Montana,Lewis And Clark Co.,Loeber Dist.,
367,,,"Adele Unterpeckern, Germany",81,,,,
368,9,Earth surface,"Adeliaide Park, Colorado",228,Colorado,Lake County,,
369,,,Adelie Coast,,,,,
370,189,Mining site,"Adelphi Lode Mine, South Dakota",228,South Dakota,Lawrence Co.,Carbonate District,
371,,,"Adenau, Rhineland-Palatinate, Germany, Rhineland-Palatinate",81,Rhineland-Palatinate,,,
372,189,Mining site,"Adervielle Mine, Hautes-pyrenees",74,Hautes-pyrenees,Hautes-pyrenees,,
373,,,"Adervielle, Midi-Pyrénées, Hautes-Pyrenees Dept., France",74,Midi-PyrÃ©nÃ©es,Hautes-Pyrenees Dept.,,
374,,,"Adhekanwela, Sri Lanka",203,,,,
375,,,"Adherentina midwayensis type locality, Alabama",228,Alabama,Wilcox,,
376,,,"Adige River, Trentino-Alto Adige, Italy, Trentino-Alto Adige",106,Trentino Alto Adige,,,
377,,,"Adirondack Mountains, New York, United States",228,New York,,,
378,,,"Adit Area, Nevada, Pershing Co., United States",228,Nevada,Pershing Co.,,
379,,,Adivoandelaka,129,,Madagascar,,
380,189,Mining site,"Adler Hollow Mine, Arkansas",228,Arkansas,,,
381,189,Mining site,"Adler Mine, Arkansas",228,Arkansas,,,
382,189,Mining site,"Adm Mine, Idaho",228,Idaho,Lemhi Co.,Gibbonsville,
383,220,Island,"Admiralty Island, Alaska",228,Alaska,,Admiralty Island,
384,220,Island,"Admiralty Island, Papua New Guinea",169,,,,
386,189,Mining site,"Admiralty Mine, Oklahoma",228,Oklahoma,,"Picher, Oklahoma (Near)",
387,,,"Admire, Kansas, United States",228,Kansas,,,
390,,,"Adna, Washington, United States",228,Washington,,,
392,,,"Adolphseck Langenschwelbach, Germany",81,,,Adolphseck Langenschwelbach,
393,189,Mining site,"Adolphsgluck Mine, Lower Saxony",81,Lower Saxony,,,
394,,,"Adorf, Saxony, Germany",81,Saxony,,,
395,,,"Adra, Almeria, Andalusia, Spain",202,Andalusia,,,
396,,,"Adrar Tiecht Bou Oudi, Souss-Massa Reg., Tata Prov., Morocco",147,Souss-Massa,Tata Prov.,,
397,,,Adriatic Sea - NW Brindisi,,,,,
399,,,Adriatic Sea - S/SW Capo St. Maria di Leuca,,,,,
400,,,Adriatic Sea - SW Gallipoli,,,,,
401,189,Mining site,"Aduddell Mine, Colorado",228,Colorado,Gilpin Co.,,
402,,,"Adula Gebirge (Mtns.); Graubuenden, Lentatal, Piz Cassanell, Switzerland",209,,,,
403,,,"Adun Chilon Mtns, Chita Oblast, Russian Federation",180,Chitinskaya,Borzya,Borzya,
408,,,"Adun-Tschon, Siberia",180,Siberia,Siberia,,
409,,,"Aduthurai, Aduthurai",100,Aduthurai,,,
410,,,"Advance Claim, South Dakota",228,South Dakota,South Dakota,,
